location-name,location-contact-url-main,location-contact-phone-main,location-address-street,location-address-locality,location-address-region,location-address-postal-code
Henry Ford Allegiance Walk-In Clinic - Leslie,https://www.henryford.com/locations/allegiance-health-center-leslie/walk-in-clinic,(517) 205-2113,130 N Sherman St,Leslie,MI,49251
Henry Ford Allegiance Walk-In Clinic - North Street,https://www.henryford.com/locations/allegiance-health-center-north-street/walk-in-clinic,,1401 W North St,Jackson,MI,49202
Henry Ford Allegiance Walk-In Clinic - Townsend,https://www.henryford.com/locations/allegiance-family-medicine-townsend/walk-in-clinic,,400 Hinckley Boulevard,Jackson,MI,49203
Henry Ford Macomb Urgent Care - Bruce Township,https://www.henryford.com/locations/macomb-bruce-township/urgent-care,(810) 798-6410,80650 Van Dyke Road,Bruce Township,MI,48065
Henry Ford Macomb Urgent Care - Chesterfield,https://www.henryford.com/locations/macomb-chesterfield/urgent-care,(586) 421-3050,30795 23 Mile Road,Chesterfield,MI,48047
Henry Ford Macomb Urgent Care - Fraser,https://www.henryford.com/locations/macomb-fraser/urgent-care,(586) 285-3850,15717 15 Mile Road,Fraser,MI,48035
Henry Ford Macomb Urgent Care - Shelby Township,https://www.henryford.com/locations/macomb-shelby-township/urgent-care,(586) 323-4700,50505 Schoenherr Road,Shelby Township,MI,48315
Henry Ford Macomb Walk-In Clinic Richmond,https://www.henryford.com/locations/macomb-richmond/walk-in-clinic,(586) 649-9078,67267 Main St,Richmond,MI,48062
Henry Ford Walk-In Clinic - Bloomfield Township,https://www.henryford.com/locations/bloomfield-township/walk-in-clinic,(248) 319-6210,1961 S Telegraph Road,Bloomfield Township,MI,48302
Henry Ford Walk-In Clinic - Capitol Park,https://www.henryford.com/locations/capitol-park/walk-in-clinic,(313) 324-8177,45 W. Grand River,Detroit,MI,48226