location-name,location-address-street,location-address-locality,location-address-region,location-address-code,Longitude,Latitude,phone,location-contact-url-main,location-contact-url-gm
SSM Health Express Clinic at Walgreens,1650 Washington Ave.,Alton,IL,62002,-90.14947833,38.90231368,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-alton,https://goo.gl/maps/FUUAF14iB4y
SSM Health Express Clinic,1003 E. McCord St.,Centralia,IL,62801,-89.11867148,38.52654384,618-436-6633,https://www.ssmhealth.com/locations/location-details/express-clinic-centralia,"https://www.google.com/maps/place/SSM+Health+Express+Clinic/@38.5276857,-89.1219045,17z/data=!3m1!4b1!4m5!3m4!1s0x887698f6c34f89f7:0xebb1a49bc9eb5b4e!8m2!3d38.5276857!4d-89.1197158?hl=en"
SSM Health Express Clinic at Walgreens,6505 N. Illinois St.,Fairview Heights,IL,62208,-89.9856056,38.593337,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-fairview-heights,https://goo.gl/maps/eUDhaFn6bm92
SSM Health Express Clinic at Walgreens,2 Cottonwood Road,Glen Carbon,IL,62034,-89.95256994,38.77436333,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-glen-carbon,https://goo.gl/maps/ZgWFDFU8K5Q2
SSM Health Express Clinic at Walgreens,3732 Nameoki Road,Granite City,IL,62040,-90.12355125,38.72908262,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-granite-city,https://goo.gl/maps/myWMZxNsACL2
SSM Health Express Clinic,602 S. 42nd St.,Mount Vernon,IL,62864,-88.94207124,38.31360059,618-899-3278,https://www.ssmhealth.com/locations/location-details/express-clinic-mount-vernon,https://goo.gl/maps/huZC7mZ2mjM2
SSM Health Express Clinic at Walgreens,3937 Vogel Road,Arnold,MO,63010,-90.3923067,38.4156438,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-arnold,https://goo.gl/maps/kRDiLBp2Cfp
SSM Health Urgent Care,1296 Jeffco Blvd.,Arnold,MO,63010,-90.37478597,38.43606488,636-321-8610,https://www.ssmhealth.com/locations/location-details/urgent-care-arnold,https://goo.gl/maps/DgGXFGFLjto
SSM Health Express Clinic at Walgreens,1718 Catlin Drive,Barnhart,MO,63012,-90.44725093,38.33309334,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-barnhart,https://goo.gl/maps/UcZbErkeBPN2
SSM Health Express Clinic at Walgreens,2401 S. Brentwood Blvd.,Brentwood,MO,63144,-90.3492362,38.6172367,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-brentwood,https://goo.gl/maps/mc938D254nP2
SSM Health Urgent Care,8820 Manchester Road,Brentwood,MO,63144,-90.3508422,38.6115221,314-963-8100,https://www.ssmhealth.com/locations/location-details/urgent-care-brentwood,https://goo.gl/maps/Erp6Yb4QVxB2
SSM Health Express Clinic at Walgreens,12345 St. Charles Rock Road,Bridgeton,MO,63004,-90.4278734,38.7536199,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-bridgeton,https://goo.gl/maps/a1vjA4KX6QD2
SSM Health Express Clinic at Walgreens,917 Chesterfield Parkway E.,Chesterfield,MO,63017,-90.553313,38.6555237,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-chesterfield,https://goo.gl/maps/vgDVAeftqZ42
SSM Health Express Clinic at Walgreens,16105 Manchester Road,Ellisville,MO,63011,-90.5964036,38.591023,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-ellisville,https://goo.gl/maps/KbgeCEmziVB2
SSM Health Express Clinic at Walgreens,1001 Bowles Ave.,Fenton,MO,63026,-90.4735911,38.5242012,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-fenton,https://goo.gl/maps/bnwvoLnVV622
SSM Health Cardinal Glennon Pediatric Urgent Care,3878 Pershall Road,Ferguson,MO,63135,-90.3052223,38.7714666,314-738-2750,https://www.ssmhealth.com/locations/location-details/pediatric-urgent-care-ferguson,https://goo.gl/maps/ADVYNggstzddzrTVA
SSM Health Express Clinic at Walgreens,500 Howdershell Road,Florissant,MO,63031,-90.3627396,38.8039304,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-florissant,https://goo.gl/maps/7ZtTHRft9Mp
SSM Health Urgent Care,1120 Shackelford Road,Florissant,MO,63031,-90.347895,38.8125816,314-830-5805,https://www.ssmhealth.com/locations/location-details/urgent-care-florissant,https://goo.gl/maps/oAFe6Kw6hbk
SSM Health Express Clinic at Walgreens,1000 Crossroads Place,High Ridge,MO,63049,-90.53102205,38.4793755,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-high-ridge,https://goo.gl/maps/Mu1KUam3kBu
SSM Health Urgent Care,2511 W. Edgewood Drive Suite D,Jefferson City,MO,65109,-92.2196953,38.5702505,573-761-0304,https://www.ssmhealth.com/locations/location-details/urgent-care-jefferson-city,https://goo.gl/maps/4pET8efrxED2
SSM Health Express Clinic at Walgreens,441 N. Kirkwood Road,Kirkwood,MO,63122,-90.4068905,38.5860511,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-kirkwood,https://goo.gl/maps/a2vR8Uem6i32
SSM Health Express Clinic at Walgreens,13992 Manchester Road,Manchester,MO,63011,-90.4907536,38.5951935,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-manchester,https://goo.gl/maps/8G5Cja6cKRK2
SSM Health Express Clinic at Walgreens,12509 Dorsett Road,Maryland Heights,MO,63043,-90.4530037,38.7149989,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-maryland-heights,https://goo.gl/maps/qSuiNdje6hp
SSM Health Urgent Care,2022 Dorsett Village,Maryland Heights,MO,63043,-90.4562729,38.7153964,314-590-0520,https://www.ssmhealth.com/locations/location-details/urgent-care-maryland-heights,https://goo.gl/maps/RkYqudeeEvD2
SSM Health Urgent Care,3626 S. Clark St. Suite C,Mexico,MO,65265,-91.88458172,39.2013381,573-582-0850,https://www.ssmhealth.com/locations/location-details/urgent-care-mexico-mo,https://goo.gl/maps/UYmmsZG6SVq
SSM Health Express Clinic at Walgreens,920 N. Main St.,O'Fallon,MO,63366,-90.69896,38.8211033,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-ofallon-mo-north-main-street,https://goo.gl/maps/LBydvWLLZvR2
SSM Health Express Clinic at Walgreens,2920 Highway K,O'Fallon,MO,63368,-90.6993065,38.757856,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-ofallon-mo-hwy-k,https://goo.gl/maps/zY2YbgZ8xVK2
SSM Health Express Clinic at Walgreens,2310 Old Highway 94,St. Charles,MO,63303,-90.5404395,38.7601208,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-st-charles,https://goo.gl/maps/c5Tw5v8qwZ22
SSM Health Urgent Care,711 Veterans Memorial Parkway Suite 100,St. Charles,MO,63303,-90.4984509,38.7681111,636-669-2211,https://www.ssmhealth.com/locations/location-details/urgent-care-st-charles-veterans-memorial-pkwy,https://goo.gl/maps/y7BDbe8H1GN2
SSM Health Urgent Care,1475 Kisker Road Suite 120,St. Charles,MO,63304,-90.6213468,38.738789,636-498-7400,https://www.ssmhealth.com/locations/location-details/urgent-care-st-charles-kisker-road,https://goo.gl/maps/m578N1REF1q
SSM Health Express Clinic at Walgreens,3920 Hampton Ave.,St. Louis,MO,63109,-90.2933033,38.5937674,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-st-louis-hampton-ave,https://goo.gl/maps/6cMH35kMQXS2
SSM Health Express Clinic at Walgreens,6071 Telegraph Road,St. Louis,MO,63129,-90.3070537,38.4561724,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-st-louis-telegraph-road,https://goo.gl/maps/8pEH7gg9opv
SSM Health Express Clinic at Walgreens,8571 Watson Road,Webster Groves,MO,63119,-90.3583887,38.5656856,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-webster-groves,"https://www.google.com/maps/place/SSM+Health+Express+Clinic+at+Walgreens/@38.565561,-90.3607446,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xbb7baee52857891b!8m2!3d38.565561!4d-90.3585559?cid=13509583806475503899&_ga=1.13732023.1223327490.1490620568"
SSM Health Express Clinic at Walgreens,1993 Wentzville Parkway,Wentzville,MO,63385,-90.8758356,38.8133254,844-776-7200,https://www.ssmhealth.com/locations/location-details/express-clinic-walgreens-wentzville,https://goo.gl/maps/L2dAbYN7f622
SSM Health Urgent Care,2315 Parkview Drive Suite 2,El Reno,OK,73036,-97.97858373,35.53068718,405-252-3540,https://www.ssmhealth.com/locations/location-details/urgent-care-el-reno,https://goo.gl/maps/nBiguqYKfrLPhAXJ9
SSM Health Outpatient Center,6201 N. Santa Fe Ave. Suite 1000,Oklahoma City,OK,73118,-97.51213908,35.53486521,405-272-5450,https://www.ssmhealth.com/locations/location-details/st-anthony-north,https://goo.gl/maps/ARbXAD7MvQ32
SSM Health Urgent Care,6201 N. Santa Fe Ave. Suite 1010,Oklahoma City,OK,73118,-97.51213908,35.53486521,405-772-8687,https://www.ssmhealth.com/locations/location-details/st-anthony-north-urgent-care,https://goo.gl/maps/16KSRugtL3t
SSM Health Express Clinic,3200 Medical Park Drive,Shawnee,OK,74804,-96.92025091,35.39286274,405-878-7160,https://www.ssmhealth.com/locations/location-details/st-anthony-shawnee-urgent-care,https://goo.gl/maps/j8vXHksgXdH2
SSM Health Urgent Care,707 14th St.,Baraboo,WI,53913,-89.7305351,43.4810313,608-356-1400,https://www.ssmhealth.com/locations/location-details/urgent-care-baraboo,https://goo.gl/maps/yzy6GCFPaWQ2
SSM Health Urgent Care,3200 E. Racine St.,Janesville,WI,53546,-88.94913843,42.65274533,608-371-8800,https://www.ssmhealth.com/locations/location-details/urgent-care-janesville,https://goo.gl/maps/Kw1qKmvPB5R2
SSM Health Urgent Care,530 Wisconsin Dells Parkway South,Lake Delton,WI,53940,-89.79332737,43.59015913,608-254-5959,https://www.ssmhealth.com/locations/location-details/urgent-care-lake-delton,https://goo.gl/maps/7Xm1neczqo72
SSM Health Urgent Care,1821 S. Stoughton Road First Floor,Madison,WI,53716,-89.30952336,43.07289567,608-260-6000,https://www.ssmhealth.com/locations/location-details/urgent-care-stoughton-rd-wisconsin,https://goo.gl/maps/SRRgUKVqf7R2
SSM Health Urgent Care,752 N. High Point Road First Floor,Madison,WI,53717,-89.51879368,43.0760116,608-824-4000,https://www.ssmhealth.com/locations/location-details/urgent-care-madison,https://goo.gl/maps/WNdDCsZNx9G2
FastCare,515 22nd Ave.,Monroe,WI,53566,-89.63269861,42.6071896,608-324-1940,https://www.ssmhealth.com/locations/location-details/fast-care-monroe,https://goo.gl/maps/f1hGhqbNyhWCFRUw5